stock_list,stock_name
688981,中芯国际
688256,寒武纪
688111,金山办公
688041,海光信息
688012,中微公司
688008,澜起科技
603993,洛阳钼业
603501,豪威集团
603259,药明康德
603019,中科曙光
601988,中国银行
601985,中国核电
601919,中远海控
601899,紫金矿业
601888,中国中免
601857,中国石油
601816,京沪高铁
601728,中国电信
601668,中国建筑
601658,邮储银行
601628,中国人寿
601601,中国太保
601398,工商银行
601328,交通银行
601318,中国平安
601288,农业银行
601225,陕西煤业
601211,国泰海通
601166,兴业银行
601127,赛力斯
601088,中国神华
601012,隆基绿能
600930,华电新能
600900,长江电力
600887,伊利股份
600809,山西汾酒
600760,中航沈飞
600690,海尔智家
600519,贵州茅台
600406,国电南瑞
600309,万华化学
600150,中国船舶
600111,北方稀土
600104,上汽集团
600050,中国联通
600036,招商银行
600031,三一重工
600030,中信证券
600028,中国石化
